,A_frozen_legacy_gross,A_frozen_legacy_legacy_cost,B_always_lp_gross,C_always_eth,D_always_usdc,E_buy_hold_5050
2026-07-03 00:00:00+00:00,8928.741157374483,8914.591829929566,9995.022261260998,8403.042077859183,10000.0,9201.521038929592
2026-07-04 00:00:00+00:00,9041.94934958752,9027.620621737457,9995.03448605904,8509.584891225299,10000.0,9254.79244561265
2026-07-05 00:00:00+00:00,9067.30101597485,9052.932113477245,9995.04243265406,8533.443923046447,10000.0,9266.721961523224
2026-07-06 00:00:00+00:00,9137.385207527495,9122.90524299354,9995.052508196148,8599.401755201008,10000.0,9299.700877600504
2026-07-07 00:00:00+00:00,8990.922259099372,8977.984564937453,9995.018860216149,8465.452101088888,10000.0,9232.726050544443
2026-07-08 00:00:00+00:00,8853.529564766972,8840.789574979322,9994.977636282292,8336.089257167803,10000.0,9168.044628583903
2026-07-09 00:00:00+00:00,8864.159645522419,8851.40435933583,9994.991748040935,8346.098067929666,10000.0,9173.049033964833
2026-07-10 00:00:00+00:00,9122.233774311158,9109.107126427387,9995.097944537947,8589.089177499127,10000.0,9294.544588749563
2026-07-11 00:00:00+00:00,9084.375816687698,9072.568037466512,9995.090209574491,8550.527034168255,10000.0,9275.263517084128
2026-07-12 00:00:00+00:00,9176.588291042495,9164.660654985728,9995.125454899893,8637.320587271799,10000.0,9318.6602936359
2026-07-13 00:00:00+00:00,9016.501239545007,9004.781683008328,9995.087230692541,8486.641147179165,10000.0,9243.320573589583
2026-07-14 00:00:00+00:00,9603.74584782888,9591.262996727626,9995.241698637461,9039.375974549137,10000.0,9519.687987274569
2026-07-15 00:00:00+00:00,9732.489502197664,9721.253528498608,9995.280110933654,9170.478103590827,10000.0,9585.239051795414
2026-07-16 00:00:00+00:00,9457.150828429145,9446.232727982979,9995.260630138295,8911.03911027922,10000.0,9455.51955513961
2026-07-17 00:00:00+00:00,9348.087124301426,9337.294935823707,9995.250517329068,8808.273388274187,10000.0,9404.136694137094
2026-07-18 00:00:00+00:00,9447.698876953775,9436.791688605503,9995.273341700327,8902.132970280662,10000.0,9451.06648514033
2026-07-19 00:00:00+00:00,9483.741844966291,9472.79401829099,9995.287818636789,8951.227132143189,10000.0,9475.613566071595
2026-07-20 00:00:00+00:00,9632.710439893524,9623.11912972517,9995.322384515835,9104.691068055403,10000.0,9552.345534027701
2026-07-21 00:00:00+00:00,9758.74683555031,9749.0300306761,9995.338726402908,9223.818747948468,10000.0,9611.909373974235
2026-07-22 00:00:00+00:00,9781.216660192953,9771.477482066799,9995.324458738622,9245.056883673735,10000.0,9622.528441836868
2026-07-23 00:00:00+00:00,9496.899283262168,9487.443200549855,9995.233620804502,8976.324433094303,10000.0,9488.162216547153
2026-07-24 00:00:00+00:00,9476.247699913154,9463.567703107377,9995.205122202104,8894.125055098835,10000.0,9447.062527549417
2026-07-25 00:00:00+00:00,9476.247699913154,9463.567703107377,9995.235831638272,8959.2864597559,10000.0,9479.643229877951
2026-07-26 00:00:00+00:00,9476.247699913154,9463.567703107377,9995.374461024297,9340.768251506817,10000.0,9670.384125753408
2026-07-27 00:00:00+00:00,9476.247699913154,9463.567703107377,9995.28809035955,9042.992267337671,10000.0,9521.496133668836
2026-07-28 00:00:00+00:00,9667.626040892777,9657.587037746634,9995.350579596588,9182.406880721828,10000.0,9591.203440360914
2026-07-29 00:00:00+00:00,9614.60269664385,9604.618753707678,9995.347138271158,9132.044783655723,10000.0,9566.02239182786
2026-07-30 00:00:00+00:00,9657.963729920022,9647.934760257782,9995.369442160922,9173.229522145417,10000.0,9586.61476107271
2026-07-31 00:00:00+00:00,9370.667595513636,9360.936958325674,9995.26849097299,8900.35281071499,10000.0,9450.176405357495
